,released,NEED RE,order #,PO #,quantity,thick,width,length,grade,mill,frt,Total,,,,
,,,,,6,2,4,12,KW,310,,,,,,
,,,,,5,2,4,10,KW,310,,,,,,
LMC 11-27 gonzalez,30-Nov,,56779,10368932,5,2,4,116,2,450,45,495,,,,
,,,,,14,2,6,116,2,460,45,505,,,,
LMC 11-27 gazalez,5-Dec,,56778,10368931,17,2,4,116,2,450,45,495,,,,
SUNBELT NOV,20-Nov,,56780,7830-11,46,2,6,8,2PH,,,,,,,
SUNBELT NOV,21-Nov,,56781,7831-11,46,2,6,8,2PH,,,,,,,
SUNBELT NOV,7-Dec,,56782,7832-11,46,2,6,8,2PH,,,,,,,
SUNBELT NOV,20-Nov,,56783,7833-11,36,2,6,10,2ph,,,,,,,
SUNBELT NOV,7-Dec,,56788,7838-11,30,2,6,12,2ph,,,,,,,
TAMPA MOULTRY,,,56789,33073,22,2,4,8,2,380,20,,,,,
TAMPA MOULTRY,,,56790,33074,23,2,6,8,2,345,20,,,,,
Viking,,,56791,25543,18,2,6,116-5/8,2,460,,,,,,
Viking,7-Dec,,56792,25544,18,2,6,116-5/8,2,460,,,,,,
UFPI Well,,,56800,21914499,20,2,6,7,2,300,,,,,,
,,,,,8,2,6,8,2,350,,,,,,
MILLING,,,56809,122393,4,2,4,7,2,365,39,,,,,
,,,,,22,2,6,7,2,300,,,,,,
MILLING,,,56801,122394,5,2,4,8,KW,285,,,,,,
,,,,,2,2,4,10,KW,310,,,,,,
,,,,,11,2,4,10,3,345,,,,,,
MILLING,,,56802,122395,6,2,6,10,3,,,,,,,
,,,,,4,2,6,10,4,,,,,,,
,,,,,6,2,6,12,4,,,,,,,
,,,,,1,2,6,6,4,,,,,,,
MILLING,,,56803,122396,3,2,4,10,3,345,39,,,,,
,,,,,14,2,6,8,4,,,,,,,
,,,,,5,2,6,8,3,280,,,,,,
MILLING,,,56804,122487,23,2,6,8,3,280,,,,,,
MILLING,,,56805,122488,23,2,6,8,3,280,,,,,,
MATHEUS STADIUM,21-Nov,,56812,71814-02,20,2,4,104,2,430,15,445,,,,
UFPI Auburndale,,,56793,21914502,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56794,21914506,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56795,21914507,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56796,21914508,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56797,21914509,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56798,21914510,23,2,6,8,2,344,39,383,,,,
UFPI Auburndale,,,56799,21914511,23,2,6,8,2,344,39,383,,,,
cash,,,,,2,2,6,8,2,360,,,,,,
Boise,,,56827,mt54027,10,2,6,104,2,455,,,,,,
,,,,,9,2,6,116,2,455,,,,,,
SMT,,,56845,14904,23,2,6,8,3,280,,,,,,
RICHOND,27-Nov,,56844,87428,13,2,4,6,2,360,40,,,,,
,,,,,13,2,4,7,2,365,,,,,,
DOUBLE L,,,56835,7668,11,2,4,8,2,385,,,,,,
,,,,,8,2,4,10,3,340,,,,,,
MILLING ,,,56837,122489,8,2,4,8,4,,,,,,,
,,,,,5,2,4,10,4,,,,,,,
,,,,,4,2,4,12,4,,,,,,,
,,,,,1,2,4,4,RD,,,,,,,
MILLING ,,,56838,122490,2,2,4,6,4,,,,,,,
,,,,,2,2,4,10,KW,310,,,,,,
,,,,,1,2,4,12,KW,310,,,,,,
,,,,,1,2,6,8,4,,,,,,,
,,,,,2,2,6,10,4,,,,,,,
,,,,,1,2,6,10,3,,,,,,,
,,,,,1,2,6,6,4,,,,,,,
,,,,,8,2,4,9,4,,,,,,,
MILLING,27-Nov,,56839,122491,20,2,4,9,4,,,,,,,
SEA,,,56806,99888,23,2,6,8,3,,,314,,,,
GULF COAST,,,56841,4040680-00,17,2,4,116,2,459,38,497,,,,
GULF COAST,29-Nov,,56842,4040681-00,17,2,4,116,2,459,38,497,,,,
GULF COAST,5-Dec,,56843,4040682-00,17,2,4,116,2,459,38,497,,,,
GULF COAST,,,56935,4040683-00,17,2,4,116,2,459,38,497,,,,
Allee 12-4,,,56852,17-11301,18,2,6,116,2,465,,,,,,
 Cherokee MADISINVILLE  ,WAS,503-5,53757,322-3,23,2,6,92.5,2,365,,,,,,
 Cherokee MADISINVILLE  ,WAS,503-11,53763,322-4,23,2,6,92.5,2,365,,,,,,
 Cherokee MADISINVILLE  ,14-Dec,503-12,53764,322-5,23,2,6,92.5,2,365,,,,,,
Cherokee MADISINVILLE ,,,56834,322-6,23,2,6,92.5,2,365,,,,,,
Cherokee MADISINVILLE ,,,56829,322-1,1,2,4,104,2,470,,,,,,
,,,,,2,2,6,104,2,460,,,,,,
,,,,,17,2,4,92.5,2,445,,,,,,
Cherokee MADISINVILLE ,18-Dec,,56830,322-2,19,2,4,92.5,2,445,,,,,,
,,,,,4,2,6,92.5,2,375,,,,,,
CHEROKEE BLUEBIRD CHAT,1-Dec,,56846,164-14,17,2,4,116,2,440,40,,,,,
CHEROKEE BLUEBIRD CHAT,5-Dec,,56847,164-15,17,2,4,116,2,435,45,,,,,
CHEROKEE ST JOHNS,,,56848,162-29,5,2,4,116,2,448,27,475,,,,
,,,,,14,2,4,104,2,490,27,517,,,,
SHELTER MT PLEASANT,,,56849,1324356-00,3,2,4,104,2,480,50,530,,,,
SHIPS 12-1,,,,,11,2,6,104,2,480,50,530,,,,
,,,,,2,2,4,12,2,425,50,475,,,,
,,,,,3,2,6,12,2,410,50,460,,,,
Richmond,28-Nov,,56850,87617,22,2,4,8,2,385,,,,,,
LBM,28-Nov,,56851,1225649,20,2,4,104,2,440,,,,,,
 lbm ,30-Nov,,56872,1225650,10,2,4,116,2,400,,,,,,
,,,,,9,2,6,104,2,430,,,,,,
MATHEUS,28-Nov,,56853,71814-83,20,2,4,104,2,470,15,485,,,,
MATHEUS,28-Nov,,56854,71814-84,20,2,4,104,2,470,15,485,,,,
MATHEUS,,,56855,71814-85,20,2,4,104,2,470,15,485,,,,
MATHEUS,,,56856,71814-86,20,2,4,104,2,470,15,485,,,,
MILLING,,,56857,122492,2,2,4,8,4,,,,,,,
,,,,,2,2,4,9,4,,,,,,,
,,,,,3,2,4,10,4,,,,,,,
,,,,,2,2,4,12,4,,,,,,,
,,,,,2,2,6,10,3,,,,,,,
,,,,,2,2,6,12,4,,,,,,,
,,,,,1,2,4,4,RD,,,,,,,
,,,,,3,2,6,4,RD,,,,,,,
BRIDGE,28-Nov,,56858,812153,18,2,6,116,2,465,45,510,,,,
ROBBINS,1-Dec,,56868,21896095,15,2,6,12,2,396,39,435,,,,
TAMPA,30-Nov,,56869,33464,25,2,4,7,2,370,,,,,,
TAMPA,,,56870,33588,11,2,4,10,3,345,,,,,,
,,,,,8,2,4,8,3,300,,,,,,
Bridge bagged,,,56864,812259,21,2,6,104,2,480,29,509,,,,
Bridge bagged,,,56866,812260,21,2,6,104,2,480,29,509,,,,
Bridge bagged,,57585,56867,812258,23,2,6,92.5,2,386,29,415,,,,
SEA,,,56859,10252,23,2,6,8,3,285,,,,,,
SEA,,,56860,10253,23,2,6,8,3,285,,,,,,
MILLING,,,56871,122493,1,2,4,6,4,,39,,,,,
,,,,,5,2,4,8,4,,,,,,,
,,,,,2,2,4,9,4,,,,,,,
,,,,,4,2,4,10,4,,,,,,,
,,,,,2,2,4,12,4,,,,,,,
,,,,,1,2,6,10,4,,,,,,,
,,,,,2,2,6,10,3,,,,,,,
,,,,,1,2,4,8,KW,285,,,,,,
MILLING,,,56873,122494,4,2,4,8,KW,285,39,,,,,
,,,,,4,2,4,10,KW,310,,,,,,
,,,,,5,2,4,12,KW,310,,,,,,
,,,,,4,2,6,10,4,,,,,,,
MILLING,,,56876,122495,,2,4,,RR,245,39,,,,,
MILLING,,,56877,122496,,2,6,,RR,255,39,,,,,
viking,30-Nov,,56874,29884,20,2,6,104,2,485,,,,,,
SHELTER  GUNN,30-Nov,,56875,4037006-00,21,2,6,104,2,485,40,525,,,,
Richmond,30-Nov,,56879,89716,22,2,4,8,2,380,35,415,,,,
eightyfour gulf port due 12-18 or snr,,,56880,RY26849,20,2,4,104,2,490,35,525,,,,
eightyfour gulf port due 12-18 or snr,,,56881,RY26848,20,2,6,104,2,490,35,525,,,,
CEDAR CREEK,,,56882,518971,12,2,6,104,2,483,17,500,,,,
,,,,,5,2,4,104,2,488,17,505,,,,
,,,,,3,2,4,116,2,463,17,480,,,,
 gulf coast  ,,110171,56889,3051036-00,20,2,4,104,2,427,53,480,,,,
 gulf coast  ,,110172,56890,3051037-00,20,2,4,104,2,427,53,480,,,,
 gulf coast  ,12-Dec,110173,56891,3051038-00,,2,4,104,2,427,53,480,,,,
MILLING,,,56885,122497,1,2,4,6,4,39,,,,,,
,,,,,3,2,4,8,4,,,,,,,
,,,,,2,2,4,9,4,,,,,,,
,,,,,1,2,4,10,4,,,,,,,
,,,,,1,2,4,12,4,,,,,,,
,,,,,2,2,4,8,KW,285,,,,,,
,,,,,1,2,4,12,KW,310,,,,,,
,,,,,4,2,6,8,4,,,,,,,
,,,,,2,2,6,10,4,,,,,,,
,,,,,2,2,6,6,4,,,,,,,
,,,,,1,2,4,4,RD,,,,,,,
MILLING,,,56886,122498,4,2,6,12,4,,,,,,,
,,,,,4,2,6,8,3,285,,,,,,
,,,,,4,2,6,10,3,,,,,,,
,,,,,1,2,6,12,3,,,,,,,
,,,,,1,2,6,4,RD,,,,,,,
TUMAC,,,56887,22379.03,22,2,4,8,2P,418,27,445,,,,
Sapphire ,14-Dec,,56888,98070,26,2,6,7,2,300,,,,,,
Gulf,,,56893,4040846,18,2,6,116,2,455,,,,,,
Gulf,4-Jan,,56894,4040847,18,2,6,116,2,455,,,,,,
Gulf,15-Feb,,56895,4040848,18,2,6,116,2,455,,,,,,
Gulf,15-Feb,,56896,4040849,18,2,6,116,2,455,,,,,,
Gulf asap,,,56897,4040850,18,2,6,116,2,455,,,,,,
Gulf asap,,,56898,4040851,18,2,6,116,2,455,,,,,,
Gulf ,16-Apr,,56899,4040852,18,2,6,116,2,455,,,,,,
Gulf,23-Apr,,56900,4040853,18,2,6,116,2,455,,,,,,
Gulf,2-May,,56901,4040854,18,2,6,116,2,455,,,,,,
Gulf,,,56902,4040855,18,2,6,116,2,455,,,,,,
sea to sun,,,56807,99889,23,2,6,8,3,275,39,314,,,,
sea to sun,2-Jan,,56808,99890,23,2,6,8,3,275,39,314,,,,
GULF COAST,,,56914,4040931-00,17,2,4,116,2,450,,,,,,
GULF COAST,,,56915,4040932-00,17,2,4,116,2,450,,,,,,
GULF COAST,2-Feb,,56916,4040933-00,17,2,4,116,2,450,,,,,,
GULF COAST,15-Feb,,56917,4040834-00,17,2,4,116,2,450,,,,,,
GULF COAST,26-Feb,,56918,4040835-00,17,2,4,116,2,450,,,,,,
GULF COAST,26-Feb,,56919,4040836-00,17,2,4,116,2,450,,,,,,
GULF COAST,26-Feb,,56920,4040837-00,17,2,4,116,2,450,,,,,,
GULF COAST,26-Feb,,56921,4040838-00,17,2,4,116,2,450,,,,,,
GULF COAST,26-Mar,,56922,4040839-00,17,2,4,116,2,450,,,,,,
GULF COAST,12-Apr,,56923,4040840-00,17,2,4,116,2,450,,,,,,
GULF COAST,23-Apr,,56924,4040841-00,17,2,4,116,2,450,,,,,,
GULF COAST,1-May,,56925,4040842-00,17,2,4,116,2,450,,,,,,
GULF COAST,15-May,,56926,4040843-00,17,2,4,116,2,450,,,,,,
GULF COAST,5-16 for 5-21,,56927,4040844-00,17,2,4,116,2,450,,,,,,
GULF COAST,,,56928,4040845-00,17,2,4,116,2,450,,,,,,
UFPI,4-Dec,,56930,21919759,23,2,6,8,2,346,39,385,,,,
UFPI,4-Dec,,56929,21919762,23,2,6,8,2,346,39,385,,,,
UFPI,4-Dec,,56931,21919763,23,2,6,8,2,346,39,385,,,,
UFPI,4-Dec,,56932,21919764,23,2,6,8,2,346,39,385,,,,
UFPI,4-Dec,,56933,21919765,23,2,6,8,2,346,39,385,,,,
UFPI,4-Dec,,56934,21919768,23,2,6,8,2,346,39,385,,,,
TAMPA,,,56936,33715,23,2,6,8,2,345,20,,,,,
TAMPA,,,56937,33716,23,2,6,8,2,345,,,,,,
TAMPA,,,56938,33701,22,2,4,8,2,375,,,,,,
TLC 12-11,,,56939,7121,18,2,6,116,2,460,20,480,,,,
TLC 12-11,12-Dec,,56940,7122,17,2,4,116,2,459,20,479,,,,
Gulf gunn,6-Dec,,56941,4037007-00,21,2,6,104,2,485,40,525,,,,
IDPAC,4-Dec,,56942,21208083-072,10,2,4,104,2,490,45,535,,,,
,,,,,10,2,6,104,2,490,45,535,,,,
COASTAL,4-Dec,,56944,10059546,8,2,4,8,2P,420,,,,,,
,,,,,2,2,4,12,2P,455,,,,,,
,,,,,8,2,6,8,2P,420,,,,,,
,,,,,1,2,6,10,2P,450,,,,,,
,,,,,1,2,6,12,2P,440,,,,,,
MACSOUTH,,,56943,15020,14,2,4,12,2,460,40,500,,,,
SMT,,,56976,15346,,2,4,,rr,245,,,,,,
GSWP DEC FLORIDA,5-Dec,,56959,4665170112,8,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP DEC FLORIDA,,,56963,4665170234,8,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP DEC FLORIDA,21-Dec,,56964,4665170235,8,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP DEC FLORIDA,,,56965,4665170236,8,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP ABBE DEC,5-Dec,,56954,4665170312,22,2,4,8,2P,,,,,,,
GSWP ABBE DEC,5-Dec,,56955,4665170445,5,2,4,8,2P,,,,,,,
,,,,,4,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP ABBE DEC,12-Dec,,56960,4665170446,5,2,4,8,2P,,,,,,,
,,,,,4,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP ABBE DEC,12-Dec,,56961,4665170447,5,2,4,8,2P,,,,,,,
,,,,,4,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP ABBE DEC,12-Dec,,56962,4665170448,5,2,4,8,2P,,,,,,,
,,,,,4,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP ABBE DEC,15-Dec,,56973,4665170534,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP ABBE DEC,21-Dec,,56974,4665170535,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP ABBE DEC,3-Jan,,56975,4665170536,4,2,6,8,2P,,,,,,,
,,,,,6,2,6,10,2P,,,,,,,
,,,,,8,2,6,12,2P,,,,,,,
GSWP MOBILE DEC,,,56971,4665170623,4,2,4,8,2P,,,,,,,
,,,,,6,2,6,8,2P,,,,,,,
,,,,,5,2,6,10,2P,,,,,,,
,,,,,4,2,6,12,2P,,,,,,,
GSWP MOBILE DEC,,,56977,4665170624,4,2,4,8,2P,,,,,,,
,,,,,6,2,6,8,2P,,,,,,,
,,,,,5,2,6,10,2P,,,,,,,
,,,,,4,2,6,12,2P,,,,,,,
GSWP MOBILE DEC,,,56992,4665170723,8,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
GSWP MOBILE DEC,12-Dec,,56980,4665170724,8,2,4,10,2P,,,,,,,
,,,,,8,2,4,12,2P,,,,,,,
Cherokee,,,56945,162-32,3,2,6,116,2,460,30,490,,,,
,,,,,15,2,4,116,2,460,30,490,,,,
TLC,,,56946,7146,9,2,4,104,1,500,15,515,,,,
,,,,,9,2,4,116,2p,470,15,485,,,,
Bridge/Grayson,,,56952,810718,14,2,4,12,2,398,35,433,,,,
BOISE,11-Dec,,56949,MT54330,6,2,4,92.5,2,420,,,,,,
,,,,,8,2,4,116,2,455,,,,,,
,,,,,6,2,4,104,2,490,,,,,,
BOISE,13-Dec,,56950,MT54331,10,2,6,104,2,490,,,,,,
,,,,,9,2,6,116,2,465,,,,,,
BRIDGEWELL,,,56947,812661,12,2,4,92.5,2,420,45,,,,,
,,,,,8,2,6,92.5,2,380,45,,,,,
,,,,,2,2,4,12,2,460,45,,,,,
BARNETT,,,56948,77wc10326,20,2,4,104,2,490,,,,,,
BARNETT,6-Dec,,56951,77wc10327,21,2,6,104,2,490,375,,,,,
SMT,12-Dec,,57032,15383,22,2,4,8,3,300,,,,,,
Bridge,,,56952,810718,14,2,4,12,2,398,35,,,,,
MILLING ,,,56953,122499,6,2,4,8,4,,,,,,,
,,,,,6,2,4,10,4,,,,,,,
,,,,,6,2,4,12,4,,,,,,,
ALLEE,6-Dec,,56956,17-12308,23,2,6,92-5/8,2P,410,,,,,,
ALLEE,8-Dec,,56957,17-12309,23,2,6,92-5/8,2P,410,,,,,,
ALLEE,15-Dec,,56958,17-12310,23,2,6,92-5/8,2P,410,,,,,,
MILLING,,,56966,122500,2,2,4,6,4,,,,,,,
,,,,,2,2,4,8,4,,,,,,,
,,,,,1,2,4,10,4,,,,,,,
,,,,,3,2,4,8,KW,300,,,,,,
,,,,,5,2,4,10,KW,340,,,,,,
,,,,,3,2,4,12,KW,330,,,,,,
,,,,,2,2,6,10,4,,,,,,,
MILLING,,,56967,122501,20,2,4,9,4,,,,,,,
MILLING,,,56968,122502,12,2,4,8,3,305,,,,,,
,,,,,1,2,6,8,4,,,,,,,
,,,,,4,2,6,12,4,,,,,,,
,,,,,1,2,4,4,RD,,,,,,,
,,,,,1,2,6,4,RD,,,,,,,
PILCROW ,5-Dec,,56969,STL171205,19,2,6,8,1,370,,,,,,
,,,,,3,2,6,6,2,300,,,,,,
Timberline,,,56970,7701,22,2,4,92.5,2,420,39,,,,,
SMT,6-Dec,,56978,15486,,2,4,RR,,245,,,,,,
MILLING,,,56981,122503,5,2,6,10,4,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
,,,,,6,2,6,10,3,,,,,,,
,,,,,3,2,6,12,3,,,,,,,
RICHMOND,12-Dec,,57008,90970,30,2,4,6,2,355,,,,,,
RICHMOND,,,56983,90971,25,2,4,7,2,355,,,,,,
BRIDGE,,,,812852,18,2,6,116,2,465,1061,,,,,
GC SHELTER,,,56988,4037008-00,15,2,6,12,2,420,40,,,,,
SMT,,,57033,14976,23,2,6,8,4,253,,,,,,
SMT,19-Dec,,57034,14975,22,2,4,8,4,230,,,,,,
SUNBELT DEC,,,56997,7830-12,46,2,6,8,2ph,,,,,,,
SUNBELT DEC,,,56998,7831-12,46,2,6,8,2ph,,,,,,,
SUNBELT DEC,,,56999,7832-12,46,2,6,8,2ph,,,,,,,
SUNBELT DEC,,,57000,7833-12,36,2,6,10,2ph,,,,,,,
SUNBELT DEC,,,57001,7834-12,36,2,6,10,2ph,,,,,,,
SUNBELT DEC,13-Dec,,57002,7835-12,36,2,6,10,2ph,,,,,,,
SUNBELT DEC,12-Dec,,57003,7836-12,30,2,6,12,2ph,,,,,,,
SUNBELT DEC,13-Dec,,57004,7837-12,30,2,6,12,2ph,,,,,,,
SUNBELT DEC,,,57005,7838-12,30,2,6,12,2ph,,,,,,,
MILLING,,,57006,122504,4,2,6,10,4,,,,,,,
,,,,,6,2,6,10,3,,,,,,,
,,,,,3,2,6,12,4,,,,,,,
,,,,,4,2,6,12,3,,,,,,,
MILLING,,,57007,122505,2,2,4,10,4,,,,,,,
,,,,,1,2,4,8,KW,300,,,,,,
,,,,,3,2,4,10,KW,340,,,,,,
,,,,,3,2,4,12,KW,330,,,,,,
,,,,,5,2,6,8,4,,,,,,,
,,,,,1,2,6,4,RD,,,,,,,
,,,,,5,2,4,9,4,,,,,,,
RICHMOND,11-Dec,,56984,90995,22,2,4,8,2,370,,,,,,
RICHMOND,11-Dec,,56985,90996,22,2,4,8,2p,390,40,430,,,,
RICHMOND,18-Dec,,56986,90997,22,2,4,8,2,370,,,,,,
RICHMOND,11-Dec,,56987,90998,17,2,4,10,3,345,40,,,,,
RICHMOND,18-Dec,,57039,90994,22,2,4,8,2,370,,,,,,
PCP,,,57017,120717,4,2,4,8,3,300,,,,,,
,,,,,19,2,6,8,3,275,,,,,,
BRIDGE,,,56972,812851,18,2,6,116,2,465,,,,,,
Bridge,,,57010,834546,6,2,6,104,2,500,38,538,,,,
,,,,,13,2,6,116,2,,38,538,,,,
tampa,,,57009,34154,15,2,6,12,2,415,40,455,,,,
WOODLANDS ,,,52071,47749,9,2,4,116,2,465,28,493,,,,
,,,,,9,2,6,116,2,465,28,493,,,,
SHELTER,,,47072,1327471-00,3,2,4,12,2,460,40,500,,,,
,,,,,12,2,6,12,2,415,40,455,,,,
MILLING,,,57013,122506,2,2,4,4,8,,,,,,,
,,,,,10,2,4,10,4,,,,,,,
,,,,,4,2,4,12,4,,,,,,,
,,,,,1,2,4,6,4,,,,,,,
MILLING,,,56622,122381,16,2,6,8,4,,,,,,,
,,,,,6,2,4,8,3,300,,,,,,
MILLING,,,57014,122581,21,2,6,9,4,,,,,,,
MILLING,,,57015,122582,15,2,4,10,KW,340,,,,,,
,,,,,2,2,4,12,KW,330,,,,,,
BRIDGE,,,57016,813123,3,2,4,116,2,460,45,505,,,,
,,,,,6,2,4,104,2,490,45,535,,,,
,,,,,3,2,6,116,2,460,45,505,,,,
,,,,,6,2,6,104,2,490,45,535,,,,
BRIDGE 12-11 HOOVER,,,57018,813147,18,2,6,116,2,460,38,498,,,,
BRIDGE 12-11 HOOVER,14-Dec,,57019,813148,18,2,6,116,2,460,38,498,,,,
BRIDGE 12-11 HOOVER,14-Dec,,57020,813149,18,2,6,116,2,460,38,498,,,,
Idapac,,,57021,71814-105,21,2,4,104,2,490,15,505,,,,
TLC,,,57027,7210,10,2,4,104,2,489,16,505,,,,
,,,,,10,2,6,104,2,489,16,505,,,,
TLC,,,57028,7211,10,2,4,104,2,489,16,505,,,,
,,,,,10,2,6,104,2,489,16,505,,,,
TLC,,,57029,7212,8,2,4,116,2,464,16,480,,,,
,,,,,9,2,6,116,2,464,16,480,,,,
BRIDGE THOMSON,18-Dec,,57022,813150,18,2,6,116,2,460,38,498,,,,
BRIDGE   TBD,,,57023,813152,18,2,6,116,2,460,,,,,,
BRIDGE   TBD,5-Feb,,57024,813153,18,2,6,116,2,460,,,,,,
BRIDGE   TBD,,,57025,813154,18,2,6,116,2,460,,,,,,
BRIDGE N CHARLESTON,11-Dec,,57026,813156,18,2,6,116,2,460,49,,,,,
CHEROKEE WEST PARK,,,57030,51-48,10,2,6,12,2,405,41,,,,,
,,,,,4,2,4,12,2,460,41,,,,,
Boise,,,57031,mt54470,4,2,4,104,2,490,,,,,,
,,,,,3,2,4,116,2,460,,,,,,
,,,,,4,2,6,116,2,465,,,,,,
,,,,,8,2,6,104,2,490,,,,,,
SMT,18-Dec,,57036,15527,22,2,4,8,3,305,,,,,,
Tampa,18-Dec,,57037,34199,22,2,4,8,2,370,,,,,,
Tampa,,,57035,34262,22,2,4,8,2,370,20,,,,,
Tampa,9-Jan,,57054,34268,30,2,4,6,2,360,,,,,,
Woodlands,,,57038,47750,7,2,4,123-1/8,2,495,40,535,,,,
,,,,,7,2,4,123-1/2,2,495,40,535,,,,
SMT,,,57042,15821,25,2,4,7,2,350,,,,,,
MILLING,,,57043,122583,3,2,4,8,4,,,,,,,
,,,,,4,2,4,8,3,310,,,,,,
,,,,,2,2,4,10,4,,,,,,,
,,,,,1,2,4,12,4,,,,,,,
,,,,,1,2,4,12,KW,330,,,,,,
,,,,,4,2,4,8,KW,300,,,,,,
,,,,,4,2,4,10,KW,340,,,,,,
MILLING,,,57044,122584,20,2,4,9,4,,,,,,,
MILLING,,,57045,122585,11,3,4,10,4,250,,,,,,
,,,,,3,2,4,12,KW,,,,,,,
,,,,,1,2,4,10,4,,,,,,,
,,,,,1,2,6,4,rd,,,,,,,
,,,,,1,2,6,6,4,,,,,,,
MacSouth,11-Dec,,57046,14949,17,2,4,116,2,466,44,510,,,,
,,,,,,,,,,,,,,,,
BFS,14-Dec,,57048,25419325,4,2,6,104,2,489,16,505,,,,
,,,,,4,2,6,116,2,464,16,480,,,,
,,,,,8,2,6,140-5/8,2,439,16,455,,,,
Tampa,12-Dec,,57047,34313,17,2,4,10,3,335,,,,,,
SMT,20-Dec,,57201,15885,17,2,4,10,3,340,,,,,,
SMT,,,57202,15886,5,2,4,8,3,305,,,,,,
,,,,,6,2,4,10,3,340,,,,,,
,,,,,6,2,4,12,3,335,,,,,,
Klumb,12-Dec,,57049,5001887-1,22,2,4,8,2p,423,27,450,,,,
Klumb,12-Dec,,57050,5001887-2,22,2,4,8,2p,423,27,450,,,,
Klumb,12-Dec,,57051,5001887-3,22,2,4,8,2p,423,27,450,,,,
Klumb,12-Dec,,57052,5001887-4,22,2,4,8,2p,423,27,450,,,,
Klumb,12-Dec,,57053,5001887-5,22,2,4,8,2p,423,27,450,,,,
MILLING ,,,57055,122586,2,2,4,8,KW,300,39,,,,,
,,,,,13,2,4,10,KW,340,,,,,,
,,,,,4,2,4,12,KW,330,,,,,,
MILLING ,,,57056,122587,4,2,4,8,4,,39,,,,,
,,,,,6,2,4,10,4,,,,,,,
,,,,,4,2,4,12,4,,,,,,,
,,,,,2,2,4,6,4,,,,,,,
,,,,,2,2,4,12,kw,330,,,,,,
bfs Sanford,,,57057,25423964,22,2,4,92.5,2,420,40,460,,,,
SMT,13-Dec,,57064,15945,25,2,4,7,2,345,,,,,,
GSWP,,,57046,761226,1,2,4,104,1,500,,,,,,
,,,,,4,2,6,104,1,500,,,,,,
,,,,,18,2,6,8,2p,430,,,,,,
UFPI ,13-Dec,,57069,21927319,22,2,4,8,2,370,,,,,,
UFPI ,18-Dec,,57070,21927320,22,2,4,8,2,370,,,,,,
ALLEE,,,57102,17-12318,18,2,6,116,1,468,,,,,,
ALLEE,,,57110,17-12319,16,2,6,128-5/8,2,445,,,,,,
bridge dune,13-Dec,,57068,8122727,21,2,6,104,2,490,40,530,,,,
green,13-Dec,,57065,36866,15,2,6,12,2,415,40,455,,,,
green,13-Dec,,57066,36867,17,2,4,10,3,,40,365,,,,
bridge florence 12-13,,,57060,813382,20,2,4,104,2,465,45,510,,,,
bridge florence 12-13,,,57061,813383,21,2,6,104,2,465,45,510,,,,
bridge florence 12-20,20-Dec,,57062,813384,20,2,4,104,2,470,40,510,,,,
bridge florence 12-21,20-Dec,,57063,813385,21,2,6,104,2,470,40,510,,,,
IFP,,,57058,10637lb-pr1,22,2,4,8,2p,423,27,450,,,,
IFP,,,57059,10637lb-pr2,22,2,4,8,2p,423,27,450,,,,
tampa,,,57203,34588,17,2,4,10,2,420,,,,,,
tampa,2-Jan,,57193,34589,17,2,4,10,2,420,,,,,,
UFPI mark,,,57162,21928292,18,2,6,116,2,465,,,,,,
idapac,,,57167,21473017-072,6,2,6,119-3/4,2,515,42,557,,,,
,,,,,5,2,4,12p,2,463,42,505,,,,
,,,,,5,2,6,12,2,398,42,440,,,,
SOUTHERN MILLING,,,57163,122588,4,2,4,10,4,,,,,,,
,,,,,1,2,4,12,4,,,,,,,
,,,,,4,2,4,12,KW,,,,,,,
,,,,,2,2,4,4,RD,,,,,,,
,,,,,5,2,6,10,4,,,,,,,
Milling,,,57168,122589,4,2,4,8,3,,,,,,,
,,,,,1,2,4,8,KW,,,,,,,
,,,,,4,2,4,10,KW,,,,,,,
,,,,,2,2,6,8,4,,,,,,,
,,,,,5,2,6,8,3,,,,,,,
,,,,,3,2,6,10,3,,,,,,,
,,,,,1,2,6,12,3,,,,,,,
